file_name,relative_path,label,sequence_type,num_events
aws_credential-access_ec2-steal-instance-credentials_sequence.txt,dataset/malicious/base/aws_credential-access_ec2-steal-instance-credentials_sequence.txt,malicious,base,38
aws_credential-access_secretsmanager-batch-retrieve-secrets_sequence.txt,dataset/malicious/base/aws_credential-access_secretsmanager-batch-retrieve-secrets_sequence.txt,malicious,base,5
aws_credential-access_secretsmanager-retrieve-secrets_sequence.txt,dataset/malicious/base/aws_credential-access_secretsmanager-retrieve-secrets_sequence.txt,malicious,base,21
aws_credential-access_ssm-retrieve-securestring-parameters_sequence.txt,dataset/malicious/base/aws_credential-access_ssm-retrieve-securestring-parameters_sequence.txt,malicious,base,10
aws_defense-evasion_cloudtrail-delete_sequence.txt,dataset/malicious/base/aws_defense-evasion_cloudtrail-delete_sequence.txt,malicious,base,1
aws_defense-evasion_cloudtrail-event-selectors_sequence.txt,dataset/malicious/base/aws_defense-evasion_cloudtrail-event-selectors_sequence.txt,malicious,base,2
aws_defense-evasion_cloudtrail-lifecycle-rule_sequence.txt,dataset/malicious/base/aws_defense-evasion_cloudtrail-lifecycle-rule_sequence.txt,malicious,base,1
aws_defense-evasion_cloudtrail-stop_sequence.txt,dataset/malicious/base/aws_defense-evasion_cloudtrail-stop_sequence.txt,malicious,base,2
aws_defense-evasion_dns-delete-logs_sequence.txt,dataset/malicious/base/aws_defense-evasion_dns-delete-logs_sequence.txt,malicious,base,1
aws_defense-evasion_organizations-leave_sequence.txt,dataset/malicious/base/aws_defense-evasion_organizations-leave_sequence.txt,malicious,base,3
aws_defense-evasion_vpc-remove-flow-logs_sequence.txt,dataset/malicious/base/aws_defense-evasion_vpc-remove-flow-logs_sequence.txt,malicious,base,1
aws_discovery_ec2-download-user-data_sequence.txt,dataset/malicious/base/aws_discovery_ec2-download-user-data_sequence.txt,malicious,base,17
aws_discovery_ses-enumerate_sequence.txt,dataset/malicious/base/aws_discovery_ses-enumerate_sequence.txt,malicious,base,3
aws_execution_ec2-launch-unusual-instances_sequence.txt,dataset/malicious/base/aws_execution_ec2-launch-unusual-instances_sequence.txt,malicious,base,3
aws_execution_ssm-send-command_sequence.txt,dataset/malicious/base/aws_execution_ssm-send-command_sequence.txt,malicious,base,71
aws_execution_ssm-start-session_sequence.txt,dataset/malicious/base/aws_execution_ssm-start-session_sequence.txt,malicious,base,5
aws_exfiltration_ec2-security-group-open-port-22-ingress_sequence.txt,dataset/malicious/base/aws_exfiltration_ec2-security-group-open-port-22-ingress_sequence.txt,malicious,base,1
aws_exfiltration_ec2-share-ami_sequence.txt,dataset/malicious/base/aws_exfiltration_ec2-share-ami_sequence.txt,malicious,base,1
aws_exfiltration_ec2-share-ebs-snapshot_sequence.txt,dataset/malicious/base/aws_exfiltration_ec2-share-ebs-snapshot_sequence.txt,malicious,base,1
aws_exfiltration_rds-share-snapshot_sequence.txt,dataset/malicious/base/aws_exfiltration_rds-share-snapshot_sequence.txt,malicious,base,2
aws_exfiltration_s3-backdoor-bucket-policy_sequence.txt,dataset/malicious/base/aws_exfiltration_s3-backdoor-bucket-policy_sequence.txt,malicious,base,1
aws_impact_bedrock-invoke-model_sequence.txt,dataset/malicious/base/aws_impact_bedrock-invoke-model_sequence.txt,malicious,base,1
aws_initial-access_console-login-without-mfa_sequence.txt,dataset/malicious/base/aws_initial-access_console-login-without-mfa_sequence.txt,malicious,base,1
aws_lateral-movement_ec2-instance-connect_sequence.txt,dataset/malicious/base/aws_lateral-movement_ec2-instance-connect_sequence.txt,malicious,base,3
aws_lateral-movement_ec2-serial-console-send-ssh-public-key_sequence.txt,dataset/malicious/base/aws_lateral-movement_ec2-serial-console-send-ssh-public-key_sequence.txt,malicious,base,5
aws_persistence_iam-backdoor-role_sequence.txt,dataset/malicious/base/aws_persistence_iam-backdoor-role_sequence.txt,malicious,base,1
aws_persistence_iam-backdoor-user_sequence.txt,dataset/malicious/base/aws_persistence_iam-backdoor-user_sequence.txt,malicious,base,3
aws_persistence_iam-create-admin-user_sequence.txt,dataset/malicious/base/aws_persistence_iam-create-admin-user_sequence.txt,malicious,base,4
aws_persistence_iam-create-backdoor-role_sequence.txt,dataset/malicious/base/aws_persistence_iam-create-backdoor-role_sequence.txt,malicious,base,3
aws_persistence_iam-create-user-login-profile_sequence.txt,dataset/malicious/base/aws_persistence_iam-create-user-login-profile_sequence.txt,malicious,base,4
aws_persistence_lambda-backdoor-function_sequence.txt,dataset/malicious/base/aws_persistence_lambda-backdoor-function_sequence.txt,malicious,base,1
aws_persistence_lambda-layer-extension_sequence.txt,dataset/malicious/base/aws_persistence_lambda-layer-extension_sequence.txt,malicious,base,1
aws_persistence_lambda-overwrite-code_sequence.txt,dataset/malicious/base/aws_persistence_lambda-overwrite-code_sequence.txt,malicious,base,1
aws_persistence_rolesanywhere-create-trust-anchor_sequence.txt,dataset/malicious/base/aws_persistence_rolesanywhere-create-trust-anchor_sequence.txt,malicious,base,2
combo_CA_DE_01.txt,dataset/malicious/combination/combo_CA_DE_01.txt,malicious,combination,3
combo_CA_DE_02.txt,dataset/malicious/combination/combo_CA_DE_02.txt,malicious,combination,3
combo_CA_DE_03.txt,dataset/malicious/combination/combo_CA_DE_03.txt,malicious,combination,2
combo_CA_EF_01.txt,dataset/malicious/combination/combo_CA_EF_01.txt,malicious,combination,3
combo_CA_EF_02.txt,dataset/malicious/combination/combo_CA_EF_02.txt,malicious,combination,3
combo_CA_EF_03.txt,dataset/malicious/combination/combo_CA_EF_03.txt,malicious,combination,3
combo_CA_EF_04.txt,dataset/malicious/combination/combo_CA_EF_04.txt,malicious,combination,4
combo_CA_PS_DE_01.txt,dataset/malicious/combination/combo_CA_PS_DE_01.txt,malicious,combination,5
combo_CA_PS_EF_01.txt,dataset/malicious/combination/combo_CA_PS_EF_01.txt,malicious,combination,6
combo_DA_CA_01.txt,dataset/malicious/combination/combo_DA_CA_01.txt,malicious,combination,5
combo_DA_CA_02.txt,dataset/malicious/combination/combo_DA_CA_02.txt,malicious,combination,5
combo_DA_CA_03.txt,dataset/malicious/combination/combo_DA_CA_03.txt,malicious,combination,6
combo_DA_CA_04.txt,dataset/malicious/combination/combo_DA_CA_04.txt,malicious,combination,4
combo_DA_CA_EF_01.txt,dataset/malicious/combination/combo_DA_CA_EF_01.txt,malicious,combination,6
combo_DA_CA_EF_02.txt,dataset/malicious/combination/combo_DA_CA_EF_02.txt,malicious,combination,6
combo_DA_EF_01.txt,dataset/malicious/combination/combo_DA_EF_01.txt,malicious,combination,4
combo_DA_EF_02.txt,dataset/malicious/combination/combo_DA_EF_02.txt,malicious,combination,4
combo_DA_EF_03.txt,dataset/malicious/combination/combo_DA_EF_03.txt,malicious,combination,5
combo_DA_EF_04.txt,dataset/malicious/combination/combo_DA_EF_04.txt,malicious,combination,4
combo_DA_PS_DE_01.txt,dataset/malicious/combination/combo_DA_PS_DE_01.txt,malicious,combination,6
